original_id,validator_id,prompt,sentence,choice_a,choice_b,pattern,based_on,original_key,original_explanation,validator_answer,validator_explanation,annotators_agree,notes,from_exp2
jbo_30,116,"Consider the English sentence ""Let's watch the sunset.""
Which of the following is a better translation of this sentence into standard Lojban?

(A) .e'u mi'o zgana lo solnuncanci
(B) .e'u mi'a zgana lo solnuncanci

Exactly one of the answers above is correct. Please indicate the single letter corresponding to the correct answer (A or B).
Answer:",Let's watch the sunset.,.e'u mi'o zgana lo solnuncanci,.e'u mi'a zgana lo solnuncanci,1,,A,"mi'o is the inclusive ""we"", while ""mi'a"" is the exclusive ""we"". Although English is said to lack clusivity, ""let's"" in this sentence almost certainly has an inclusive meaning, so ""mi'o"", as in A, is the better translation.",A,[Agreed with presented explanation],1,,1
jbo_31,67,"Consider the English sentence ""Only the red ones are sweet.""
Which of the following is a better translation of this sentence into standard Lojban?

(A) lo xunre po'o ku titla
(B) lo xunre ku po'o titla

Exactly one of the answers above is correct. Please indicate the single letter corresponding to the correct answer (A or B).
Answer:",Only the red ones are sweet.,lo xunre po'o ku titla,lo xunre ku po'o titla,6,,B,"In A, ""po'o"" attaches to the verb ""xunre"" inside of the argument phrase. This can be translated as ""those which are only red (as opposed to having additional attributes)"", or more idiomatically, ""the wholly red ones"". In B, ""po'o"" attaches to the whole argument phrase, ""lo xunre ku"", giving the intended meaning: ""only the red ones (and no others)"".",B,"""po'o"" (""only"") modifies the word or structure to its left.

""lo xunre po'o"" means ""that which is only red"".

""lo xunre ku po'o"" means ""only that which is red"".",1,,0
jbo_32,109,"Consider the English sentence ""The children were too lazy to do what they were imagining.""
Which of the following is a better translation of this sentence into standard Lojban?

(A) lo verba cu lazni lo ka gasnu lo xanri be ri
(B) lo verba cu lazni lo ka gasnu lo se xanri be ri

Exactly one of the answers above is correct. Please indicate the single letter corresponding to the correct answer (A or B).
Answer:",The children were too lazy to do what they were imagining.,lo verba cu lazni lo ka gasnu lo xanri be ri,lo verba cu lazni lo ka gasnu lo se xanri be ri,3,,A,"xanri means to be imagined, not to imagine, so A and not B matches the English.",A,"The place structure of ""xanri"" is ""x1 is imagined by x2"".

""lo xanri be ri"" means ""that which is imagined by them"", while ""lo se xanri be ri"" means ""that which imagines them"". ",1,,0
jbo_33,40,"Consider the English sentence ""All of the children of the many cooks later became cooks themselves.""
Which of the following is a better translation of this sentence into standard Lojban?

(A) ro lo panzi be ro lo so'i jukpa se jibri ba co'a se jibri lo ka jukpa ku vau si'a
(B) ro lo so'i jukpa se jibri zo'u ro panzi be ri ba co'a se jibri lo ka jukpa ku vau si'a

Exactly one of the answers above is correct. Please indicate the single letter corresponding to the correct answer (A or B).
Answer:",All of the children of the many cooks later became cooks themselves.,ro lo panzi be ro lo so'i jukpa se jibri ba co'a se jibri lo ka jukpa ku vau si'a,ro lo so'i jukpa se jibri zo'u ro panzi be ri ba co'a se jibri lo ka jukpa ku vau si'a,6,,B,"In A, the quantified argument phrase ""ro lo so'i jukpa"" is incorporated into the predicate ""panzi be ro lo so'i jukpa"", which results in the implausible meaning, ""for each person who is a child of all of the many cooks (at once)"". In B, ""ro lo so'i jukpa"" is placed in the prenex, such that it scopes over the other quantifier, giving the intended meaning: ""for each of the many cooks, all of this particular cook's children"".",B,"In (A), ""ro lo panzi be ro lo so'i jukpa"" means ""each of those who are children of every cook"", i.e. it claims that these children are (each) the child of every cook.

Therefore, it is necessary to first quantify over all the cooks, and then over their children, as (B) does: For each X among the many cooks, every Y who is a child of X becomes a cook.",1,,0
jbo_34,75,"Consider the English sentence ""Alice is sitting on the riverbank.""
Which of the following is a better translation of this sentence into standard Lojban?

(A) la .alis. cu zutse lo korbi be lo rirxe
(B) la .alis. cu zutse lo rirxe be lo korbi

Exactly one of the answers above is correct. Please indicate the single letter corresponding to the correct answer (A or B).
Answer:",Alice is sitting on the riverbank.,la .alis. cu zutse lo korbi be lo rirxe,la .alis. cu zutse lo rirxe be lo korbi,7,,A,"The particle ""be"" curries the argument after it into the predicate before it. ""lo korbi be lo rirxe"" means ""the edge of the river"", while ""lo rirxe be lo korbi"" means ""the river on the edge"".",A,"""lo korbi be lo rirxe"" means ""the edge of the river"", while ""lo rirxe be lo korbi"" means ""the river in the edge"".",1,,0
jbo_35,112,"Consider the English sentence ""Only you count your clothes after washing them.""
Which of the following is a better translation of this sentence into standard Lojban?

(A) steci do fa lo ka ce'u lo taxfu pe ce'u ba gi lumci gi kancu
(B) steci do fa lo ka ce'u goi ko'a lo taxfu pe ko'a ba gi lumci gi kancu

Exactly one of the answers above is correct. Please indicate the single letter corresponding to the correct answer (A or B).
Answer:",Only you count your clothes after washing them.,steci do fa lo ka ce'u lo taxfu pe ce'u ba gi lumci gi kancu,steci do fa lo ka ce'u goi ko'a lo taxfu pe ko'a ba gi lumci gi kancu,7,,B,"The lambda pronoun ""ce'u"" creates a new variable every time it is used. To use the same variable again, it must be assigned to another pronoun, as in B with ""ce'u goi ko'a"". A, where the repeated ""ce'u"" results in a second variable, is nonsensical because ""steci"" expects a unary predicate in its first place.",B,"In a ka-clause, every occurence of ""ce'u"" is a new lambda variable. 

To refer to the same variable, one can bind ""ce'u"" to an assignable pronoun like ""ko'a"" and then every subsequent ""ko'a"" refers to the same variable. This is what (B) does.

(A) uses multiple ""ce'u"", thereby creating a ka-clause with multiple different lambda variables.",1,,0
jbo_36,16,"Consider the English sentence ""How many words do you know in Malay?""
Which of the following is a better translation of this sentence into standard Lojban?

(A) slabu do fa xo valsi be fi lo meljo
(B) slabu do fa xo valsi be lo meljo

Exactly one of the answers above is correct. Please indicate the single letter corresponding to the correct answer (A or B).
Answer:",How many words do you know in Malay?,slabu do fa xo valsi be fi lo meljo,slabu do fa xo valsi be lo meljo,3,,A,"The second place of ""valsi"" takes the meaning of the word, not the language, which goes in the third place. B would mean, ""how many words for Malay things do you know?"". In A, ""lo meljo"" is marked with ""fi"", which puts it in the third place of ""valsi"" as intended.",A,"The place structure of ""valsi"" is ""x1 is a word meaning x2 in language x3"". 

""lo meljo"" (""that which is Malaysian"") needs to be in the third argument slot. The place marker ""fi"" marks an argument as going into the third slot. ""xo valsi be fi lo meljo"" = ""how many words in [a] Malaysian [language]""

This marker is missing in (B), instead placing ""lo meljo"" in the second argument place, yielding ""how many words meaning something Malaysian"".",1,,0
jbo_37,10,"Consider the English sentence ""The teacher's dog is dead.""
Which of the following is a better translation of this sentence into standard Lojban?

(A) lo ctuca pe lo gerku cu morsi
(B) lo gerku pe lo ctuca cu morsi

Exactly one of the answers above is correct. Please indicate the single letter corresponding to the correct answer (A or B).
Answer:",The teacher's dog is dead.,lo ctuca pe lo gerku cu morsi,lo gerku pe lo ctuca cu morsi,7,,B,"The possessor always follows ""pe"". ""lo ctuca pe lo gerku"" means ""the teacher of the dog"", while ""lo gerku pe lo ctuca"" matches the English ""the teacher's dog"".",B,"""lo ctuca pe lo gerku"" means ""The teacher of the dog"", while ""lo gerku pe lo ctuca"" means ""the dog of the teacher"".",1,,0
jbo_38,60,"Consider the English sentence ""The chair is close to the table, and the lamp to the wall.""
Which of the following is a better translation of this sentence into standard Lojban?

(A) zvajbi ge fa lo stizu lo jubme gi fa lo gustci lo bitmu
(B) zvajbi fa ge lo stizu lo jubme gi lo gustci lo bitmu

Exactly one of the answers above is correct. Please indicate the single letter corresponding to the correct answer (A or B).
Answer:","The chair is close to the table, and the lamp to the wall.",zvajbi ge fa lo stizu lo jubme gi fa lo gustci lo bitmu,zvajbi fa ge lo stizu lo jubme gi lo gustci lo bitmu,7,,A,"Phrases like ""ge lo stizu lo jubme gi lo gustci lo bitmu"", sometimes known as termsets, can't be case-marked. The ""fa"" in B opens an empty term and doesn't affect the following arguments, which then fall into the second and third places of ""zvajbi"", not the first and second as intended. This makes no sense because ""zvajbi"" takes only two arguments. In A, ""fa"" is repeated in both branches which gives the intended meaning.",A,"The place marker ""fa"" has to be inside the gek-termset, so after ""ge"", not before it. ""fa"" cannot tag an entire gek-termset.",1,,0
jbo_39,117,"Consider the English sentence ""It was quiet until the birds started to sing.""
Which of the following is a better translation of this sentence into standard Lojban?

(A) smaji co'u ku co'a lo nu lo cipni cu cmoni
(B) smaji co'u lo nu lo cipni co'a cmoni

Exactly one of the answers above is correct. Please indicate the single letter corresponding to the correct answer (A or B).
Answer:",It was quiet until the birds started to sing.,smaji co'u ku co'a lo nu lo cipni cu cmoni,smaji co'u lo nu lo cipni co'a cmoni,1,,B,"co'u means ""stop"" or ""no longer"" as an adverb and ""until"" as a preposition. B is a faithful translation of the English sentence, while A has an entirely different meaning: ""It stopped being the case that it starts to be quiet when the birds sing"".",B,[Agreed with presented explanation],1,"Annotator 2 had made a typo in original version, fixed in this version",1
jbo_40,82,"Consider the English sentence ""Please pee in the toilet, not on the floor.""
Which of the following is a better translation of this sentence into standard Lojban?

(A) .e'o lo pinca be do cu farlu ge lo nenri be lo vimstizu gi nai lo loldi
(B) .e'o do vikmi lo pinca ne'i lo vimstizu pe'e je nai re'o lo loldi

Exactly one of the answers above is correct. Please indicate the single letter corresponding to the correct answer (A or B).
Answer:","Please pee in the toilet, not on the floor.",.e'o lo pinca be do cu farlu ge lo nenri be lo vimstizu gi nai lo loldi,.e'o do vikmi lo pinca ne'i lo vimstizu pe'e je nai re'o lo loldi,7,,A,"Verbs like ""pee"", where prepositions and adverbs refer to only part of the whole event, have no direct equivalent in Lojban. In B, the speaker asks the listener to pee while being inside the toilet fixture. A, while not an exact translation, conveys the meaning of the English sentence better.",A,"(A) asks that the pee fall inside the the toilet but not on the floor.

(B) asks that the EVENT of peeing be located inside the toilet and not on the ground.

(Note: This sentence is famously difficult to translate into Lojban in a succinct way without sacrificing precision. Sentence (A) solves the problem by rephrasing the situation and technically does not talk about ""peeing"" at all. (B) on the other hand APPEARS to translate all the necessary bits, but ends up meaning the wrong thing.)",1,,0
jbo_41,94,"Consider the English sentence ""Bye Patrick, I hope you get better.""
Which of the following is a better translation of this sentence into standard Lojban?

(A) co'o la .patrik. .a'o do kanryze'a
(B) co'o la .patrik. do kanryze'a .a'o

Exactly one of the answers above is correct. Please indicate the single letter corresponding to the correct answer (A or B).
Answer:","Bye Patrick, I hope you get better.",co'o la .patrik. .a'o do kanryze'a,co'o la .patrik. do kanryze'a .a'o,4,,B,"Free modifiers such as "".a'o"" attach to the word or phrase before them. In A, "".a'o"" attaches to the name "".patrik."", which isn't well defined -- it could be interpreted as part of the name, or as ""the one who hopefully is Patrick"". In B, "".a'o"" is attached correctly to ""kanryze'a"": ""hopefully get better"".",B,"Attitudinals like "".a'o"" (""I hope"") modify the word or structure to their left.

In (A), it attaches directly to "".patrik."" (depending on who you ask, this either results in calling the person ""Hopefully Patrick"" or expressing hopefulness that you're greeting someone called Patrick, but either way, the intended meaning is not achieved)

In (B), it attaches to the main verb ""kanryze'a"" (""to get more healthy""), which means that getting more healthy is what the speaker hopes for.",1,,0
jbo_42,37,"Consider the English sentence ""When it snows, I want to dance.""
Which of the following is a better translation of this sentence into standard Lojban?

(A) ca lo nu snimycarvi kei mi dansu djica
(B) ca lo nu snimycarvi kei mi djica dansu

Exactly one of the answers above is correct. Please indicate the single letter corresponding to the correct answer (A or B).
Answer:","When it snows, I want to dance.",ca lo nu snimycarvi kei mi dansu djica,ca lo nu snimycarvi kei mi djica dansu,2,10,A,"Compound predicates are head-final unless inverted using ""co"". ""djica dansu"" can mean ""dance in a wanting way"", while ""dansu djica"" usually means ""want to dance"".",A,"""dansu djica"" is a tanru meaning ""dance-desire"", while ""djica dansu"" means ""desire-dance"". The former is a kind of desire, the latter a kind of dance. Since the claim is that the speaker WANTS to dance, and not necessarily does dance, whenever it snows, the correct tanru is ""dansu djica"".",1,,0
jbo_43,66,"Consider the English sentence ""Soon after reaching the coast, he jumped into the water.""
Which of the following is a better translation of this sentence into standard Lojban?

(A) ra ba zi lo nu ra darca lo xaskoi cu plipe lo djacu
(B) ra ki lo nu ra darca lo xaskoi cu ba zi plipe lo djacu

Exactly one of the answers above is correct. Please indicate the single letter corresponding to the correct answer (A or B).
Answer:","Soon after reaching the coast, he jumped into the water.",ra ba zi lo nu ra darca lo xaskoi cu plipe lo djacu,ra ki lo nu ra darca lo xaskoi cu ba zi plipe lo djacu,7,,B,"When used as a preposition, ""ba zi"" takes the length of time as an argument, not the point from which the time is reckoned. This point can be given using ""ki"", as in B.",B,"When used as a preposition, ""zi"" (""soon"") should be followed by an argument that expresses the temporal distance to the main event.

However, in (A), it is followed by the event ""he reached the coast"".

In order to specify the reference point of various tense words, the word ""ki"" should be used, as in (B). The event ""he reached the coast"" is taken as the reference point, from which the ""zi"" (""soon"") is evaluated.",1,,0
jbo_44,118,"Consider the English sentence ""At the funeral, I could do nothing but cry.""
Which of the following is a better translation of this sentence into standard Lojban?

(A) ca lo mronunsla mi lo ka klaku ku po'o kakne
(B) ca lo mronunsla mi lo ka krixa ku po'o kakne

Exactly one of the answers above is correct. Please indicate the single letter corresponding to the correct answer (A or B).
Answer:","At the funeral, I could do nothing but cry.",ca lo mronunsla mi lo ka klaku ku po'o kakne,ca lo mronunsla mi lo ka krixa ku po'o kakne,1,,A,"klaku, as in A, means to cry tears, while ""krixa"" means to yell.",A,[Agreed with presented explanation],1,,1
jbo_45,119,"Consider the English sentence ""What we talked about is very important to both of us.""
Which of the following is a better translation of this sentence into standard Lojban?

(A) lo se tavla be mi'o cu vajni sai ro mi'o
(B) lo se casnu be mi'o cu vajni sai ro mi'o

Exactly one of the answers above is correct. Please indicate the single letter corresponding to the correct answer (A or B).
Answer:",What we talked about is very important to both of us.,lo se tavla be mi'o cu vajni sai ro mi'o,lo se casnu be mi'o cu vajni sai ro mi'o,1,,B,"tavla takes the listener as its second argument, while ""casnu"" takes the topic, so only ""lo se casnu be mi'o"", as in B, can mean ""what we talked about"".",B,[Agreed with presented explanation],1,,1
jbo_46,28,"Consider the English sentence ""Three of the seven cats are black.""
Which of the following is a better translation of this sentence into standard Lojban?

(A) ci lo ze mlatu cu xekri
(B) ci loi ze mlatu cu xekri

Exactly one of the answers above is correct. Please indicate the single letter corresponding to the correct answer (A or B).
Answer:",Three of the seven cats are black.,ci lo ze mlatu cu xekri,ci loi ze mlatu cu xekri,7,,A,"lo refers to individuals, while ""loi"" refers to groups of individuals. Thus, ""ci loi ze mlatu"" in B means ""three of the groups of seven cats"", while A matches the English sentence.",A,"We want to quantify over individual cats, not groups of cats, so ""loi"" is the wrong article. (B) would mean that there are multiple groups of seven cats each, and three of those groups are black.",1,,0
jbo_47,120,"Consider the English sentence ""I repeat, we're closer to the end than to the beginning.""
Which of the following is a better translation of this sentence into standard Lojban?

(A) zmadu ke'o fa lo fanmo lo krasi lo ka mi'o zvajbi
(B) zmadu ke'u fa lo fanmo lo krasi lo ka mi'o zvajbi

Exactly one of the answers above is correct. Please indicate the single letter corresponding to the correct answer (A or B).
Answer:","I repeat, we're closer to the end than to the beginning.",zmadu ke'o fa lo fanmo lo krasi lo ka mi'o zvajbi,zmadu ke'u fa lo fanmo lo krasi lo ka mi'o zvajbi,1,,B,"ke'o, as in A, is a vocative meaning ""please repeat yourself"", while ""ke'u"", as in B, is a free modifier meaning ""I repeat"".",B,[Agreed with presented explanation],1,,1
jbo_48,20,"Consider the English sentence ""Hi, I'm new.""
Which of the following is a better translation of this sentence into standard Lojban?

(A) mi cnino coi
(B) coi mi cnino

Exactly one of the answers above is correct. Please indicate the single letter corresponding to the correct answer (A or B).
Answer:","Hi, I'm new.",mi cnino coi,coi mi cnino,4,,A,"Vocatives like ""coi"" take a following argument, such as ""mi"", to specify who the speaker is talking to. So, B translates as ""Hi, me. It is new."", while A, where ""coi"" has no argument after it, matches the English. Another way to ensure that ""mi"" is an argument of the main predicate instead of the vocative would be to close the latter with the terminator ""do'u"": ""coi do'u mi cnino"".",A,"When a word follows ""coi"" (""hello""), it specifies the addressee of the greeting.

In (B), ""coi mi"" means ""Hello, me""; the speaker greets themselves, and the predicate ""cnino"" (""new"") is left without any arguments: ""Hello, me. [something] is new.""

By placing ""coi"" at the end of the sentence as in (A), this mistake is avoided: ""I'm new, hi.""",1,,0
jbo_49,105,"Consider the English sentence ""What are you looking for? My two blue shirts.""
Which of the following is a better translation of this sentence into standard Lojban?

(A) do ma zvasisku .i lo re mi blanu creka
(B) do ma zvasisku .i lo mi re blanu creka

Exactly one of the answers above is correct. Please indicate the single letter corresponding to the correct answer (A or B).
Answer:",What are you looking for? My two blue shirts.,do ma zvasisku .i lo re mi blanu creka,do ma zvasisku .i lo mi re blanu creka,7,,B,"An argument can occur directly inside another argument headed by an article such as ""lo"" in two positions: directly after the article, in which case it is a possessor (equivalent to ""pe"" plus the inner argument placed after the predicate), or after the inner quantifier, in which it takes the place of the predicate that would usually be there (equivalent to ""me"" plus the inner argument). As such, B is a translation of the English, while the second sentence of A has the unrelated meaning, ""the two of us are blue shirts"".",B,"The possessive has to precede the inner quantifier like in (B).

""lo re mi blanu creka"" falls apart into ""[lo re mi] [blanu creka]"" (""the two of me are blue shirts"").",1,,0
jbo_50,38,"Consider the English sentence ""Did they force you to eat?""
Which of the following is a better translation of this sentence into standard Lojban?

(A) xu ra bapli lo nu do citka
(B) xu ra do bapli lo ka citka

Exactly one of the answers above is correct. Please indicate the single letter corresponding to the correct answer (A or B).
Answer:",Did they force you to eat?,xu ra bapli lo nu do citka,xu ra do bapli lo ka citka,3,,A,"The verb ""bapli"" takes two arguments (the one doing the forcing, and the forced event), not three. Only A makes sense according to this standard definition.",A,"The place structure of ""bapli"" is ""x1 forces x2 to take place.""

(B) uses an incorrect three-place place structure, which is not how ""bapli"" is defined.",1,,0
jbo_51,6,"Consider the English sentence ""This chair is easy to fold.""
Which of the following is a better translation of this sentence into standard Lojban?

(A) ti noi stizu cu se frili lo ka polje
(B) frili fa lo ka polje ti noi stizu

Exactly one of the answers above is correct. Please indicate the single letter corresponding to the correct answer (A or B).
Answer:",This chair is easy to fold.,ti noi stizu cu se frili lo ka polje,frili fa lo ka polje ti noi stizu,7,,B,"frili takes an agent as its second argument, and ""polje"" takes an agent as its first argument, as in B. Lojban has no direct equivalent of the English middle voice; A would mean something like ""This chair finds it easy to fold things"".",B,"(A) means ""This chair finds it easy to fold something.""

(B) means ""Folding this chair is easy"".",1,,0
jbo_52,22,"Consider the English sentence ""The windows vary in transparency automatically.""
Which of the following is a better translation of this sentence into standard Lojban?

(A) lo canko cu zmiku lo ka cenba lo ka guskli
(B) lo canko cu cenba lo ka guskli poi zmiku

Exactly one of the answers above is correct. Please indicate the single letter corresponding to the correct answer (A or B).
Answer:",The windows vary in transparency automatically.,lo canko cu zmiku lo ka cenba lo ka guskli,lo canko cu cenba lo ka guskli poi zmiku,7,,A,"Many meanings expressed as adverbs in English are expressed as main verbs in Lojban. A is a correct translation of the English: ""The windows are automatic in varying their transparency"". In B, the relative clause ""poi zmiku"" is part of the argument phrase, ""lo ka guskli poi zmiku"", meaning ""the transparency that is automatic"". Standard Lojban has no sentence-level relative clauses.",A,"Adverbs like ""automatically"" often have to be turned into verbs in Lojban, such as in (A), where ""zmiku"" is the main verb (""x1 automatically satisfies property x2"") and we get ""The window automatically varies in transparency.""

(B) instead attaches ""zmiku"" to ""lo ka guskli"" (""the property of being transparent"") using a restrictive relative clause, which means something like ""the property of being transparent that is automatic"", but this is the wrong approach.",1,,0
jbo_53,49,"Consider the English sentence ""Helen enjoys running through the woods.""
Which of the following is a better translation of this sentence into standard Lojban?

(A) la .xelen. cu pluka lo ka bajra pa'o lo rictu'a
(B) pluka la .xelen. fa lo ka bajra pa'o lo rictu'a

Exactly one of the answers above is correct. Please indicate the single letter corresponding to the correct answer (A or B).
Answer:",Helen enjoys running through the woods.,la .xelen. cu pluka lo ka bajra pa'o lo rictu'a,pluka la .xelen. fa lo ka bajra pa'o lo rictu'a,3,,B,"pluka means to please, so A is nonsense (""Helen pleases running through the woods""), while B fits the English sentence.",B,"The place structure of ""pluka"" is ""x1 is pleasant to x2"".

In (A), ""la .xelen."" (""Helen"") is in the first argument place, which is incorrect.",1,,0
jbo_54,121,"Consider the English sentence ""Who started the fire?""
Which of the following is a better translation of this sentence into standard Lojban?

(A) ma cfagau lo fagri
(B) ma cfari lo fagri

Exactly one of the answers above is correct. Please indicate the single letter corresponding to the correct answer (A or B).
Answer:",Who started the fire?,ma cfagau lo fagri,ma cfari lo fagri,1,,A,"cfari takes only one argument, so B is nonsensical. The causative meaning of ""start"" can be expressed by adding the causative suffix ""-gau"" as in A.",A,[Agreed with presented explanation],1,,1
jbo_55,122,"Consider the English sentence ""Mark likes tea more than Jane does.""
Which of the following is a better translation of this sentence into standard Lojban?

(A) la .mark. cu zmanei lo'e tcati la .djein.
(B) la .mark. cu nelmau la .djein. lo'e tcati

Exactly one of the answers above is correct. Please indicate the single letter corresponding to the correct answer (A or B).
Answer:",Mark likes tea more than Jane does.,la .mark. cu zmanei lo'e tcati la .djein.,la .mark. cu nelmau la .djein. lo'e tcati,1,,B,"zmanei compares how much a person likes two things, and ""nelmau"" compares how much two people like a thing. B is a correct translation of the English, while A has the unrelated meaning, ""Mark prefers tea to Jane"".",B,[Agreed with presented explanation],1,,1
jbo_56,57,"Consider the English sentence ""At least 100 students gathered in front of the building.""
Which of the following is a better translation of this sentence into standard Lojban?

(A) lo ka su'o 100 mei gi'e tadni cu kancusu'oi lo ka jmaji lo crane be lo dinju
(B) su'o 100 tadni cu jmaji lo crane be lo dinju

Exactly one of the answers above is correct. Please indicate the single letter corresponding to the correct answer (A or B).
Answer:",At least 100 students gathered in front of the building.,lo ka su'o 100 mei gi'e tadni cu kancusu'oi lo ka jmaji lo crane be lo dinju,su'o 100 tadni cu jmaji lo crane be lo dinju,5,,A,"Standard Lojban quantifiers are singular and distributive, so B has the unintended meaning of ""at least 100 students individually (e.g. out of their flesh and bones) gathered in front of the building"". The intended plural meaning can be expressed with the unofficial plural quantifier ""su'oi"" or, as in A, with the equivalent predicate ""kancusu'oi"".",A,"In standard Lojban, where ""su'o"" is a singular quantifier, (B) is wrong. In dialects where ""su'o"" is equivalent to the plural quantifier ""su'oi"", (B) would be the much preferred answer due its more efficient and intuitive structure.

In versions of Lojban without plural quantification, helper predicates like ""kancusu'oi"" can be used to express the equivalent of plural predication, but this is rarely seen in practice.",1,,0
jbo_57,7,"Consider the English sentence ""I know that you want one of these dishes, but I don't know which one.""
Which of the following is a better translation of this sentence into standard Lojban?

(A) mi djuno lo du'u do kaidji tu'a su'o lo me ti sanmi .i ku'i na djuno lo du'u ma kau me ri gi'e jai se kaidji do
(B) mi djuno lo du'u su'o lo me ti sanmi do jai se kaidji .i ku'i na djuno lo du'u ma kau me ri gi'e jai se kaidji do

Exactly one of the answers above is correct. Please indicate the single letter corresponding to the correct answer (A or B).
Answer:","I know that you want one of these dishes, but I don't know which one.",mi djuno lo du'u do kaidji tu'a su'o lo me ti sanmi .i ku'i na djuno lo du'u ma kau me ri gi'e jai se kaidji do,mi djuno lo du'u su'o lo me ti sanmi do jai se kaidji .i ku'i na djuno lo du'u ma kau me ri gi'e jai se kaidji do,5,,B,"A ""tu'a"" phrase refers to an abstraction (such as a property), and connectives and quantifiers within the phrase are interpreted as if they were in a subsentence describing that property. ""jai"" works similarly to ""tu'a"", but the argument that it raises out of the underlying abstraction is treated as a direct argument to the predicate marked with ""jai"" in terms of how connectives and quantifiers apply to it. As implied by the second sentence, the listener wants a specific dish, not any old dish, which is better expressed with the quantifier ""su'o"" scoping over the property that is the second argument of ""kaidji"", as done using ""jai"" in B.",B,"The English sentence has a de dicto reading and a de re reading, which correspond to (A) and (B) respectively. Given the latter half of the English sentence, it is clear that a de re reading is intended: the speaker believes that the listener wants to eat a specific dish, and not just any one of the dishes, but doesn't know which one the listener desires.",1,,0
jbo_58,17,"Consider the English sentence ""We decorated the room with ribbons and banners.""
Which of the following is a better translation of this sentence into standard Lojban?

(A) mi'a seljadnygau lo kumfa lo'e dasri jo'u lo'e lanci
(B) mi'a jadni lo kumfa se pi'o lo'e dasri jo'u lo'e lanci

Exactly one of the answers above is correct. Please indicate the single letter corresponding to the correct answer (A or B).
Answer:",We decorated the room with ribbons and banners.,mi'a seljadnygau lo kumfa lo'e dasri jo'u lo'e lanci,mi'a jadni lo kumfa se pi'o lo'e dasri jo'u lo'e lanci,1,,A,"jadni means to be a decoration (on something); the causative meaning of ""decorate"" can be translated with ""seljadnygau"" as in A.",A,"The word ""jadni"" means ""x1 adorns x2"" in a non-agentive sense, as in ""x1 is a decoration of x2"".

The English sentence requires an agentive sense of ""decorate"", which is what ""seljadnygau"" is in (A).
(B) is completely wrong: ""We are decorations of the room, using ribbons and banners"".",1,,0
jbo_59,52,"Consider the English sentence ""This is a bottle without a lid.""
Which of the following is a better translation of this sentence into standard Lojban?

(A) ti botpi fo zi'o
(B) ti botpi fo zi'o .e no da

Exactly one of the answers above is correct. Please indicate the single letter corresponding to the correct answer (A or B).
Answer:",This is a bottle without a lid.,ti botpi fo zi'o,ti botpi fo zi'o .e no da,7,,B,"Removing an argument place with ""zi'o"" does not automatically assert that the original predicate doesn't apply; it makes an implicature at best. To say that only the lower-arity predicate applies, the original one must be explicitly negated, such as with ""no da"" in B.",B,"The classic ""a bottle without a lid is not a bottle in Lojban"". The place structure of ""botpi"" is ""x1 is a bottle for x2, made of material x3 with lid x4"".

By placing the argument ""no da"" (""nothing""), which is equivalent to ""na ku su'o da"" (""not anything""), the entire relationship is negated, meaning the claim is that the thing is not a bottle, which is too strong a claim.

The pronoun ""zi'o"" can be used to remove places from the place structure. The place structure of ""botpi fo zi'o"" is then ""x1 is a bottle for x2, made of material x3"", where the old ""lid"" place is no longer present. This new predicate can be used to state positively that the object under discussion is a bottle (without stating whether it has a lid or not), and combined with the "".e no da"" (""and nothing""), the existence of a corresponding lid is negated.

Therefore, the unusual (B) is correct.",1,,0
jbo_60,2,"Consider the English sentence ""He fears loudness but is bored by silence.""
Which of the following is a better translation of this sentence into standard Lojban?

(A) ra terpa lo'e nu cladu ku gi'e ku'i se tolzdi lo'e nu smaji
(B) ra terpa lo'e nu cladu gi'e ku'i se tolzdi lo'e nu smaji

Exactly one of the answers above is correct. Please indicate the single letter corresponding to the correct answer (A or B).
Answer:",He fears loudness but is bored by silence.,ra terpa lo'e nu cladu ku gi'e ku'i se tolzdi lo'e nu smaji,ra terpa lo'e nu cladu gi'e ku'i se tolzdi lo'e nu smaji,4,,A,"In B, the event abstraction beginning with ""nu cladu"" is not explicitly terminated and expands to include the rest of the sentence, resulting in an unwanted meaning: ""He fears the following: someone unspecified is loud and is bored by silence"". In A, the containing argument phrase is terminated with ""ku"", giving the intended meaning.",A,"(B) means ""He fears [[when something is loud] and [bored by silence]]"" because the subclause opened by the first ""nu"" is not closed, which can be achieved via ""ku"" as in (A) or more commonly via ""kei"". Then the structure changes into ""He [fears when something is loud] and [is bored by silence]"", which correctly captures the English sentence.",1,,0
